name,number,team,Games played,time(min),2pt,2pt shot,2pt percentage,3pt,3pt shot,3pt percentage,free throw,free throw shot,free throw percentage,pt,offReb,defReb,tReb,assist,steal,block,turn over,foul
鑀倫,19,高雄17直播鋼鐵人,9,33:58,2.78,6.22,44.64%,3.44,10.11,34.07%,3.67,4.11,89.19%,19.56,0.44,4.67,5.11,3.33,2.33,0.56,1.89,2.89
奧帝,11,新北國王,7,33:52,2.71,5.57,48.72%,2.71,7.71,35.19%,3.14,3.43,91.67%,16.71,0.86,7.57,8.43,2.86,1.14,1.71,2.14,3.43
特壞,6,新竹街口攻城獅,18,41:1,5.33,10.89,48.98%,1.94,6.67,29.17%,3.89,5.89,66.04%,20.39,1.67,5.33,7,3.67,1.56,0.33,2.28,1.56
楊敬敏,6,新北國王,39,28:32,3.1,7.13,43.53%,1.72,5.1,33.67%,3.46,4.33,79.88%,14.82,0.46,3.08,3.54,2.62,0.74,0,1.97,1.26
林俊吉,11,福爾摩沙台新夢想家,40,28:19,2.33,5.73,40.61%,2.13,5.43,39.17%,2.83,3.5,80.71%,13.85,0.73,3.15,3.88,4.35,0.78,0.03,2.05,1.88
李德威,26,福爾摩沙台新夢想家,39,21:20,2.33,5.18,45.05%,0.36,1.59,22.58%,0.44,0.92,47.22%,6.18,1.26,4.18,5.44,1.56,0.54,0.67,1.49,2.95
陳振傑,0,福爾摩沙台新夢想家,23,15:11,1,2.04,48.94%,1.17,3.74,31.4%,0.7,0.87,80%,6.22,0.83,1.65,2.48,0.35,0.17,0,0.7,0.57
張耕淯,29,臺北富邦勇士,8,5:7,0.5,0.75,66.67%,0.13,0.5,25%,0.88,1,87.5%,2.25,0,0.63,0.63,0,0.13,0,0.5,0.63
王柏智,10,高雄17直播鋼鐵人,20,15:37,1.15,2.6,44.23%,0.7,1.9,36.84%,0.35,0.5,70%,4.75,0.7,2.45,3.15,0.7,0.4,0.4,0.8,1.55
楊盛硯,18,福爾摩沙台新夢想家,12,3:18,0.17,0.33,50%,0.08,0.5,16.67%,0,0,0%,0.58,0,0.33,0.33,0.17,0.08,0,0.17,0.25
